created_at,val_loss
2020-03-18 17:54:03.632984,
2020-03-18 17:54:03.695228,
2020-03-18 17:54:03.755809,
2020-03-18 17:54:03.813790,
2020-03-18 17:54:03.871386,
2020-03-18 17:54:03.931350,
2020-03-18 17:54:03.992537,
2020-03-18 17:54:04.054298,
2020-03-18 17:54:04.116419,
2020-03-18 17:54:04.174560,
2020-03-18 17:54:04.230558,
2020-03-18 17:54:04.286772,
2020-03-18 17:54:04.347234,
2020-03-18 17:54:04.412237,
2020-03-18 17:54:04.471664,
2020-03-18 17:54:04.534986,
2020-03-18 17:54:04.599150,
2020-03-18 17:54:04.662229,
2020-03-18 17:54:04.726288,
2020-03-18 17:54:04.788771,
2020-03-18 17:54:04.850169,
2020-03-18 17:54:04.912699,
2020-03-18 17:54:04.975946,
2020-03-18 17:54:05.036296,
2020-03-18 17:54:05.094159,
2020-03-18 17:54:05.155637,
2020-03-18 17:54:05.223143,
2020-03-18 17:54:05.286664,
2020-03-18 17:54:05.349245,
2020-03-18 17:54:05.410342,
2020-03-18 17:54:05.472152,
2020-03-18 17:54:05.530857,
2020-03-18 17:54:05.593699,
2020-03-18 17:54:05.654911,
2020-03-18 17:54:05.716503,
2020-03-18 17:54:05.777552,
2020-03-18 17:54:05.843309,
2020-03-18 17:54:05.906062,
2020-03-18 17:54:05.968425,
2020-03-18 17:54:06.028585,
2020-03-18 17:54:06.091924,
2020-03-18 17:54:06.151840,
2020-03-18 17:54:06.212989,
2020-03-18 17:54:06.275328,
2020-03-18 17:54:06.335515,
2020-03-18 17:54:06.395361,
2020-03-18 17:54:06.457707,
2020-03-18 17:54:06.520174,
2020-03-18 17:54:06.582448,
2020-03-18 17:54:06.646375,
2020-03-18 17:54:06.709754,
2020-03-18 17:54:06.769368,
2020-03-18 17:54:06.828842,
2020-03-18 17:54:06.892080,
2020-03-18 17:54:06.952080,
2020-03-18 17:54:07.012932,
2020-03-18 17:54:07.076729,
2020-03-18 17:54:07.138589,
2020-03-18 17:54:07.201960,
2020-03-18 17:54:07.264516,
2020-03-18 17:54:07.325313,
2020-03-18 17:54:07.383781,
2020-03-18 17:54:07.443450,
2020-03-18 17:54:07.505044,
2020-03-18 17:54:07.566949,
2020-03-18 17:54:07.630063,
2020-03-18 17:54:07.692770,
2020-03-18 17:54:07.754177,
2020-03-18 17:54:07.816282,
2020-03-18 17:54:07.877365,
2020-03-18 17:54:07.938240,
2020-03-18 17:54:08.001115,
2020-03-18 17:54:08.064641,
2020-03-18 17:54:08.123576,
2020-03-18 17:54:08.186510,
2020-03-18 17:54:08.246934,
2020-03-18 17:54:08.310299,
2020-03-18 17:54:08.369977,
2020-03-18 17:54:08.431938,
2020-03-18 17:54:08.491950,
2020-03-18 17:54:08.553721,
2020-03-18 17:54:08.614718,
2020-03-18 17:54:08.676979,
2020-03-18 17:54:08.738823,
2020-03-18 17:54:08.798927,
2020-03-18 17:54:08.859012,
2020-03-18 17:54:08.920341,
2020-03-18 17:54:08.981259,
2020-03-18 17:54:09.043706,
2020-03-18 17:54:09.108161,
2020-03-18 17:54:09.170287,
2020-03-18 17:54:09.233465,
2020-03-18 17:54:09.292698,
2020-03-18 17:54:09.353248,
2020-03-18 17:54:09.412454,
2020-03-18 17:54:09.471028,
2020-03-18 17:54:09.531627,
2020-03-18 17:54:09.591076,
2020-03-18 17:54:10.216865,0.47009599208831787
2020-03-18 17:54:10.227302,
2020-03-18 17:54:10.285912,
2020-03-18 17:54:10.347375,
2020-03-18 17:54:10.408345,
2020-03-18 17:54:10.471612,
2020-03-18 17:54:10.531463,
2020-03-18 17:54:10.591266,
2020-03-18 17:54:10.653419,
2020-03-18 17:54:10.720015,
2020-03-18 17:54:10.783290,
2020-03-18 17:54:10.847164,
2020-03-18 17:54:10.907700,
2020-03-18 17:54:10.966290,
2020-03-18 17:54:11.023879,
2020-03-18 17:54:11.082079,
2020-03-18 17:54:11.141595,
